# The File can contains any number of empty lines and
# or starting with hash negliged by script
# The First meaningful line must contain the colum names
# Fallowing rows are traited as record.
# Fields must be quoted by single quote if strings or plain in case of Numeric values 


'filetype','description','nameregularexpression','headerseparation','"group"','invperiod','mngsngext','sngext','hdrext','dblext'
#
# Virtual File Type for Distribution
'AUX_TO_OBJSTORE', 'Aux Files to be distributed to SrvImport',            'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'AUXTOOBJST_TBZ',  'Aux Files to be zipped and distributed to SrvImport', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'XMLTOOBJST_TBZ',  'Xml Files to be zipped and distributed to SrvImport', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'DBLTOOBJST_TBZ',  'Aux Files to be zipped and distributed to SrvImport', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'CSVTOOBJST_TBZ',  'Aux Files to be zipped and distributed to SrvImport', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'KMLTOOBJST_TBZ',  'Aux Files to be zipped and distributed to SrvImport', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# Virtual File Type for Ingestion (S3)
'EUM_AUX',       'Aux Files coming from EUMETSAT',    'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'NPPF_AUX',      'NPPF Files coming from EUMETSAT',   'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3POD_AUX',     'POD Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3OSIRPRO_AUX', 'S3 OSIICE Repro Auxiliaryfiles',    'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

# Virtual File Type for Ingestion (S1)
'ECMWF_TRO',     'AUX_TRO files from ECMWF',          'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'ECMWF_TRO_OR',  'AUX_TRO files from ECMWF',          'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'OSISAF_ICE',    'OSI SAF ICE files',                 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1FOS_AUX_TGZ', 'FOS Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1FOS_AUX_EOF', 'FOS Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1FOS_AUX_DBL', 'FOS Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1POD_AUX',     'POD Auxiliaryfiles',                'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1MCP_AUX',     'Aux Files coming from CalVal(MPC)', 'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S1PRIP_AUX',    'Aux Files coming from PRIP',        'NULL', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
