# The File can contains any number of empty lines and
# or starting with hash negliged by script
# The First meaningful line must contain the colum names
# Fallowing rows are traited as record.
# Fields must be quoted by single quote if strings or plain in case of Numeric values

'filetype','description','nameregularexpression','headerseparation','"group"','invperiod','mngsngext','sngext','hdrext','dblext'

#S1 Virtual filetype
'S1_VIRTUAL','S1_VIRTUAL LTA filetype',,'false','group0',0,'false',,,,
#S2 Virtual filetype
'S2_VIRTUAL','S2__VIRTUAL LTA filetype',,'false','group0',0,'false',,,,
#S3 Virtual filetype
'S3_VIRTUAL','S3__VIRTUAL LTA filetype',,'false','group0',0,'false',,,,

#S5 Virtual filetype
'S5_VIRTUAL','S5__VIRTUAL LTA filetype',,'false','group0',0,'false',,,,

################################################################################################################
#                                               SENTINEL5P                                                     #
################################################################################################################
'S5_REP__SUP',    'S5_REP__SUP auxiliary file',    '^S5[ABCP_]_.*_REP__SUP___[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{4}\.EOF','false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

################################################################################################################
#                                               SENTINEL-3                                                     #
################################################################################################################
'S3_REP__SUP',    'S3_REP__SUP auxiliary file',   '^S3[ABCP_]_.*_REP__SUP___[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{4}\.','false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

######### Estensione SEN3.zip
'S3_SL_2_DIMSAX', 'SL_2_DIMSAX auxiliary file',   '^S3[ABC_]_SL_2_DIMSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___MA1_AX', 'ECMWF grib1 Analysis data',    '^S3[ABC_]_AX___MA1_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___MA2_AX', 'ECMWF grib2 Analysis data',    '^S3[ABC_]_AX___MA2_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___MF1_AX', 'ECMWF grib1 Forecast data',    '^S3[ABC_]_AX___MF1_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___MF2_AX', 'ECMWF grib1 Forecast data',    '^S3[ABC_]_AX___MF2_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___MFA_AX', 'ECMWF Forecast+Analysis data', '^S3[ABC_]_AX___MFA_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___BA__AX', 'Iers Bulletin auxiliary file', '^S3[ABC_]_AX___BA__AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___BB2_AX', 'Iers Bulletin auxiliary file', '^S3[ABC_]_AX___BB2_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR___MDO_AX', 'SR___MDO_AX auxiliary file',   '^S3[ABC_]_SR___MDO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR___POESAX', 'SR___POESAX auxiliary file',   '^S3[ABC_]_SR___POESAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_PMPSAX', 'SR_2_PMPSAX auxiliary file',   '^S3[ABC_]_SR_2_PMPSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_RMO_AX', 'SR_2_RMO_AX auxiliary file',   '^S3[ABC_]_SR_2_RMO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_PMO_AX', 'SR_2_PMO_AX auxiliary file',   '^S3[ABC_]_SR_2_PMO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_POL_AX', 'SR_2_POL_AX auxiliary file',   '^S3[ABC_]_SR_2_POL_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_PGI_AX', 'SR_2_PGI_AX auxiliary file',   '^S3[ABC_]_SR_2_PGI_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_RGI_AX', 'SR_2_RGI_AX auxiliary file',   '^S3[ABC_]_SR_2_RGI_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_1_USO_AX', 'SR_1_USO_AX auxiliary file',   '^S3[ABC_]_SR_1_USO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR___MGNSAX', 'SR___MGNSAX auxiliary file',   '^S3[ABC_]_SR___MGNSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_SIC_AX', 'SR_2_SIC_AX auxiliary file',   '^S3[ABC_]_SR_2_SIC_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SL_2_SSTAAX', 'METOffice auxiliary file',     '^S3[ABC_]_SL_2_SSTAAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___FPO_AX', 'FOS Predicted Orbit File',     '^S3[ABC_]_AX___FPO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___FRO_AX', 'FOS Reconstituted Orbit File', '^S3[ABC_]_AX___FRO_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_GN_1_MANHAX', 'FOS Manoeuvre Acceleration',   '^S3[ABC_]_GN_1_MANHAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_GN_1_MASSAX', 'FOS Sat Mass Properties Rep',  '^S3[ABC_]_GN_1_MASSAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR___MGNPAX', 'POD auxiliary file',           '^S3[ABC_]_SR___MGNPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR___POEPAX', 'POD auxiliary file',           '^S3[ABC_]_SR___POEPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_PCPPAX', 'POD auxiliary file',           '^S3[ABC_]_SR_2_PCPPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_SR_2_PMPPAX', 'POD auxiliary file',           '^S3[ABC_]_SR_2_PMPPAX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_AX___OSF_AX', 'Ref Orbit Scenario File',      '^S3[ABC_]_AX___OSF_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_MW_1_NIR_AX', 'MW_1_NIR_AX auxiliary file',   '^S3[ABC_]_MW_1_NIR_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_MW_1_DNB_AX', 'MW_1_DNB_AX auxiliary file',   '^S3[ABC_]_MW_1_DNB_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
'S3_MW_1_MON_AX', 'MW_1_MON_AX auxiliary file',   '^S3[ABC_]_MW_1_MON_AX_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}__.*', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'

######### Estensione EOF
'S3_MPL_DNPPF',   'MPL DNPPF Aux File',           '^S3[ABC_]_OPER_MPL_DNPPF__[0-9]{8}T[0-9]{6}_[0-9]{8}T[0-9]{6}_.*\.[Ee][Oo][Ff]$', 'false', 'group0', 0, 'false', 'NULL', 'NULL', 'NULL'
